condition,country,actor_id,actor_age_years,actor_gender,dist,eq_uneq,decision,value,trial
DI,Uganda,uganda_actor_1,7,F,t1_dist,U,accept,low,t1
AI,Uganda,uganda_actor_2,8,M,t1_dist,U,accept,low,t1
AI,Uganda,uganda_actor_3,8,M,t1_dist,E,accept,low,t1
AI,Uganda,uganda_actor_4,9,M,t1_dist,U,accept,high,t1
DI,Uganda,uganda_actor_5,8,F,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_6,7,F,t1_dist,U,accept,high,t1
AI,Uganda,uganda_actor_7,9,F,t1_dist,U,accept,high,t1
AI,Uganda,uganda_actor_8,8,F,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_9,8,M,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_10,9,F,t1_dist,E,accept,low,t1
DI,Uganda,uganda_actor_11,8,M,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_12,8,F,t1_dist,E,reject,high,t1
DI,Uganda,uganda_actor_13,9,F,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_14,8,F,t1_dist,E,accept,low,t1
DI,Uganda,uganda_actor_15,7,M,t1_dist,U,accept,low,t1
DI,Uganda,uganda_actor_16,8,F,t1_dist,E,accept,low,t1
DI,Uganda,uganda_actor_17,8,F,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_18,9,F,t1_dist,E,accept,high,t1
DI,Uganda,uganda_actor_19,9,M,t1_dist,E,accept,high,t1
DI,Uganda,uganda_actor_20,9,F,t1_dist,E,accept,high,t1
DI,Uganda,uganda_actor_21,8,M,t1_dist,U,accept,high,t1
DI,Uganda,uganda_actor_22,7,F,t1_dist,E,accept,low,t1
AI,Uganda,uganda_actor_23,7,M,t1_dist,U,accept,low,t1
DI,Uganda,uganda_actor_24,7,M,t1_dist,U,accept,low,t1
AI,Uganda,uganda_actor_25,9,F,t1_dist,U,reject,low,t1
DI,Uganda,uganda_actor_26,9,F,t1_dist,E,accept,low,t1
AI,Uganda,uganda_actor_27,7,M,t1_dist,U,accept,low,t1
DI,Uganda,uganda_actor_28,9,M,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_29,7,M,t1_dist,U,accept,high,t1
DI,Uganda,uganda_actor_30,7,M,t1_dist,U,accept,low,t1
DI,Uganda,uganda_actor_31,6,M,t1_dist,E,reject,low,t1
DI,Uganda,uganda_actor_32,5,F,t1_dist,E,reject,low,t1
DI,Uganda,uganda_actor_33,6,M,t1_dist,U,accept,high,t1
AI,Uganda,uganda_actor_34,4_5,M,t1_dist,U,accept,high,t1
AI,Uganda,uganda_actor_35,5,F,t1_dist,E,reject,low,t1
DI,Uganda,uganda_actor_36,6,F,t1_dist,E,accept,low,t1
AI,Uganda,uganda_actor_37,5,M,t1_dist,E,accept,high,t1
DI,Uganda,uganda_actor_38,6,F,t1_dist,E,accept,low,t1
AI,Uganda,uganda_actor_39,5,M,t1_dist,U,accept,low,t1
DI,Uganda,uganda_actor_40,6,M,t1_dist,U,accept,low,t1
DI,Uganda,uganda_actor_41,6,F,t1_dist,U,reject,high,t1
AI,Uganda,uganda_actor_42,4_5,M,t1_dist,E,reject,low,t1
AI,Uganda,uganda_actor_43,5,F,t1_dist,E,reject,high,t1
AI,Uganda,uganda_actor_44,6,F,t1_dist,E,accept,low,t1
AI,Uganda,uganda_actor_45,5,F,t1_dist,E,reject,low,t1
DI,Uganda,uganda_actor_47,6,M,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_48,5,F,t1_dist,U,reject,high,t1
DI,Uganda,uganda_actor_49,6,M,t1_dist,E,accept,high,t1
AI,Uganda,uganda_actor_50,6,M,t1_dist,U,accept,high,t1
DI,Uganda,uganda_actor_51,5,F,t1_dist,U,accept,high,t1
DI,Uganda,uganda_actor_53,6,F,t1_dist,E,accept,high,t1
